Nome do Produto,Complemento da Marca,Princípio Ativo ou Descrição do Medicamento Notificado,Tipo de Regularização,Número da Regularização,Número do Processo,Empresa Detentora da Regularização,Situação da Regularização,Vencimento da Regularização
FOR GAS,,SIMETICONA 125 MG (CÁPSULA GELATINOSA MOLE) C,NOTIFICADO,         ,,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,06/2033
NITRATO DE MICONAZOL,,NITRATO DE MICONAZOL 20 MG/G (CREME VAGINAL) C,NOTIFICADO,         ,,BLAU FARMACEUTICA S.A. - 58.430.828/0013-01,Ativo,05/2034
DESTYC,,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,REGISTRADO,138450001,25351.290923/2021-27,EPHAR PESQUISA E DESENVOLVIMENTO LTDA - 36.130.126/0001-28,Ativo,04/2029
AMORA,,"ACETATO DE CLORMADINONA, ETINILESTRADIOL",REGISTRADO,100431298,25351.287861/2015-28,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,03/2030
gastronol,,CARBONATO DE CÁLCIO (COMPRIMIDO DE 500 MG) C,NOTIFICADO,         ,,Jarrell Farmacêutica Ltda EPP - 68.240.779/0001-56,Ativo,12/2026
PUREGON,,BETAFOLITROPINA,REGISTRADO,100290205,25351.357149/2021-41,ORGANON FARMACÊUTICA LTDA. - 45.987.013/0001-34,Ativo,11/2026
paracetamol + cafeína + carisoprodol + diclofenaco sódico,,"PARACETAMOL, CAFEÍNA, CARISOPRODOL, DICLOFENACO SÓDICO",REGISTRADO,167730654,25351.263702/2015-38,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,10/2030
cetoconazol + dipropionato de betametasona + sulfato de neomicina,,"CETOCONAZOL, DIPROPIONATO DE BETAMETASONA, SULFATO DE NEOMICINA",REGISTRADO,105730683,25351.861681/2018-63,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,12/2026
Mylla,,DESOGESTREL,REGISTRADO,178170845,25351.045754/2014-98,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,08/2027
ticagrelor,,ticagrelor,REGISTRADO,167730577,25351.674056/2017-01,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,02/2028
VICK VAPORUB,,"LEVOMENTOL, CÂNFORA, Eucalipto",REGISTRADO,121420009,25351.458413/2009-41,PROCTER & GAMBLE DO BRASIL LTDA. - 59.476.770/0001-58,Ativo,08/2035
Alprazolam,,ALPRAZOLAM,REGISTRADO,103700545,25351.182466/2009-45,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,09/2035
ENLUTOZA,,enzalutamida,REGISTRADO,151430073,25351.264319/2021-45,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA - 03.978.166/0001-75,Ativo,
ZOLCRIS,,RILUZOL,REGISTRADO,102980458,25351.189910/2017-20,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,05/2027
cloridrato de metformina,,CLORIDRATO DE METFORMINA,REGISTRADO,103920215,25351.634372/2022-07,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA - 30.222.814/0001-31,Ativo,12/2032
"BE BETTER SOLUCAO DE CLORETO DE SODIO 0,9%",,"SOLUÇÃO DE CLORETO DE SÓDIO 0,9% C",NOTIFICADO,         ,,LABORATORIO TAYUYNA LTDA - 60.879.848/0001-64,Ativo,01/2030
cloridrato de amitriptilina,,CLORIDRATO DE AMITRIPTILINA,REGISTRADO,155840067,25351.534978/2011-89,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,09/2029
dicloridrato de trimetazidina,,DICLORIDRATO DE TRIMETAZIDINA,REGISTRADO,135170085,25351.420059/2022-85,Althaia S.A Indústria Farmacêutica - 48.344.725/0007-19,Ativo,05/2035
HEMITARTARATO DE RIVASTIGMINA,,HEMITARTARATO DE RIVASTIGMINA,REGISTRADO,104070103,25351.059275/2012-71,INSTITUTO VITAL BRAZIL S/A - 30.064.034/0001-00,Ativo,02/2027
